longitude,latitude,YR,MO,X,Y,TOT,CR
-73.95009046,40.69979062536126,2015,5,998089,194233,1,GRAND LARCENY
-73.84994804,40.68639972134147,2015,5,1025865,189386,1,ROBBERY
-73.84195481,40.8884537,2015,5,1027949,263005,2,FELONY ASSAULT
-73.85068928,40.875485675073605,2015,5,1025542,258276,1,FELONY ASSAULT
-73.84510383,40.89668928261109,2015,5,1027073,266004,1,GRAND LARCENY
-73.86371187,40.8747717,2015,5,1021941,258010,1,GRAND LARCENY
-73.85449227,40.89247743,2015,5,1024480,264465,1,ROBBERY
-73.87280572,40.84086852850009,2015,5,1019444,245654,1,FELONY ASSAULT
-73.90060403,40.84414831384177,2015,5,1011751,246839,1,FELONY ASSAULT
-73.88428354,40.84117704,2015,5,1016268,245762,1,ROBBERY
-73.85469626,40.85706561861875,2015,5,1024445,251563,1,GRAND LARCENY OF MOTOR VEHICLE
-73.90357306,40.88285383765137,2015,5,1010914,260940,1,GRAND LARCENY OF MOTOR VEHICLE
-73.8846612,40.87974871048077,2015,5,1016145,259815,1,FELONY ASSAULT
-73.89138067,40.86170061882347,2015,5,1014295,253237,1,FELONY ASSAULT
-73.87559293,40.87525446257567,2015,5,1018655,258181,1,ROBBERY
-73.87812592,40.88215457821846,2015,5,1017951,260694,1,ROBBERY
-73.89492144,40.86534885881753,2015,5,1013314,254565,1,ROBBERY
-73.97647897,40.57663774766135,2015,5,990784,149362,7,GRAND LARCENY
-73.95443902,40.57960099839684,2015,5,996906,150444,1,GRAND LARCENY OF MOTOR VEHICLE
-73.97060776,40.576507389803325,2015,5,992415,149315,1,ROBBERY
-73.9387156,40.59402585340544,2015,5,1001270,155702,1,FELONY ASSAULT
-73.94148081,40.59830369170928,2015,5,1000501,157260,1,GRAND LARCENY
-73.96118526,40.598312036209634,2015,5,995029,157260,1,ROBBERY
-73.9354983,40.592207034984696,2015,5,1002164,155040,1,ROBBERY
-73.98486881,40.614028805726456,2015,5,988451,162984,1,ROBBERY
-73.98347648,40.60766343566999,2015,5,988838,160665,1,ROBBERY
-73.90995667,40.625997515330624,2015,5,1009245,167357,1,GRAND LARCENY
-73.93353753,40.61957153913785,2015,5,1002701,165010,1,GRAND LARCENY
-73.92862123,40.625766331946856,2015,5,1004064,167268,1,ROBBERY
-73.93935836,40.61579518,2015,5,1001086,163633,1,ROBBERY
-73.96981281,40.63889638099403,2015,5,992628,172045,1,GRAND LARCENY
-73.94132684,40.65468160935867,2015,5,1000530,177800,1,GRAND LARCENY OF MOTOR VEHICLE
-73.92654574,40.65239220499741,2015,5,1004632,176969,1,ROBBERY
-74.03264589,40.619577881907226,2015,5,975187,165007,1,GRAND LARCENY
-74.00702182,40.632109525129415,2015,5,982301,169571,1,GRAND LARCENY
-73.91900483,40.63589372353322,2015,5,1006730,170960,1,GRAND LARCENY
-73.90736907,40.629335870442624,2015,5,1009962,168574,1,GRAND LARCENY OF MOTOR VEHICLE
-73.89327384,40.64843561145217,2015,5,1013866,175537,1,ROBBERY
-73.9604671,40.62528214117184,2015,5,995224,167086,1,GRAND LARCENY
-73.97370388,40.63059160919997,2015,5,991549,169019,1,GRAND LARCENY
-73.93160856,40.66355560739332,2015,5,1003224,181035,1,GRAND LARCENY
-74.00908142,40.64982971715656,2015,5,981730,176027,1,GRAND LARCENY
-73.90612894,40.678587253415216,2015,5,1010287,186518,1,FELONY ASSAULT
-73.91101873,40.66702739329484,2015,5,1008935,182305,1,ROBBERY
-73.86453897,40.676448795950094,2015,5,1021824,185754,3,FELONY ASSAULT
-73.8881549,40.653769353600296,2015,5,1015284,177482,1,FELONY ASSAULT
-73.88315249,40.666181774985766,2015,5,1016666,182006,1,GRAND LARCENY
-73.88458143,40.65906051,2015,5,1016273,179411,1,GRAND LARCENY
-73.89232827,40.680567873522136,2015,5,1014114,187244,1,GRAND LARCENY
-73.8920021,40.66825449756203,2015,5,1014210,182758,1,ROBBERY
-73.88555529,40.67965556037412,2015,5,1015993,186914,2,ROBBERY
-73.89670376,40.66755340703266,2015,5,1012906,182501,1,ROBBERY
-73.87148356,40.66470087291789,2015,5,1019904,181471,1,ROBBERY
-73.99042375,40.6826929,2015,5,986906,188000,1,ROBBERY
-73.93592473,40.67689496479272,2015,5,1002023,185894,2,FELONY ASSAULT
-73.92546388,40.66591778975382,2015,5,1004928,181897,1,GRAND LARCENY
-73.92761522,40.676445383579065,2015,5,1004328,185732,2,ROBBERY
-73.96262061,40.671628531674585,2015,5,994619,183971,1,GRAND LARCENY
-73.97745785,40.684052497984375,2015,5,990502,188496,1,GRAND LARCENY
-73.97305427,40.67799932662528,2015,5,991724,186291,1,ROBBERY
-73.95088254,40.68693172300096,2015,5,997872,189548,1,FELONY ASSAULT
-73.94352632,40.69603000487981,2015,5,999910,192864,1,FELONY ASSAULT
-73.94011717,40.69341526163927,2015,5,1000856,191912,1,GRAND LARCENY
-73.95175916,40.69132922,2015,5,997628,191150,1,ROBBERY
-73.93208608,40.68310144186303,2015,5,1003086,188156,1,FELONY ASSAULT
-73.92562386,40.68084673206095,2015,5,1004879,187336,1,ROBBERY
-73.90851484,40.68180330629647,2015,5,1009624,187689,1,ROBBERY
-73.9065464,40.69455942461082,2015,5,1010165,192337,1,ROBBERY
-73.99046644,40.68672771840158,2015,5,986894,189470,1,GRAND LARCENY
-73.97789379,40.68507638242153,2015,5,990381,188869,1,GRAND LARCENY
-73.96688165,40.69334098803167,2015,5,993434,191881,1,GRAND LARCENY
-73.97279587,40.69279358423128,2015,5,991794,191681,1,ROBBERY
-73.94068846,40.71196194,2015,5,1000693,198669,1,FELONY ASSAULT
-73.9404222,40.71121797308989,2015,5,1000767,198398,1,FELONY ASSAULT
-73.80376048,40.69437791,2015,5,1038668,192318,1,GRAND LARCENY
-73.97073059,40.64123243122562,2015,5,992373,172896,1,ROBBERY
-74.00668721,40.63653139800518,2015,5,982394,171182,1,ROBBERY
-73.91881657,40.65736604457822,2015,5,1006775,178783,1,BURGLARY
-73.91431799,40.65222180349777,2015,5,1008025,176910,1,BURGLARY
-73.92363963,40.66304555410953,2015,5,1005435,180851,1,FELONY ASSAULT
-73.92720708,40.65401479212313,2015,5,1004448,177560,2,FELONY ASSAULT
-73.92816365,40.649264173642784,2015,5,1004184,175829,1,FELONY ASSAULT
-73.92631687,40.64099296699278,2015,5,1004699,172816,2,FELONY ASSAULT
-73.94882428,40.64383506007569,2015,5,998452,173847,1,GRAND LARCENY
-73.94951846,40.65029384424332,2015,5,998258,176200,2,GRAND LARCENY
-73.93354637,40.63602107287643,2015,5,1002694,171003,1,GRAND LARCENY
-73.92102772,40.66193489948789,2015,5,1006160,180447,1,GRAND LARCENY
-73.94069748,40.65317714588917,2015,5,1000705,177252,1,GRAND LARCENY
-73.91992074,40.66229095561677,2015,5,1006467,180577,1,ROBBERY
-73.91630563,40.650702656888384,2015,5,1007474,176356,1,ROBBERY
-73.91574629,40.65130061137175,2015,5,1007629,176574,1,ROBBERY
-74.0097508,40.61890414015707,2015,5,981543,164760,1,BURGLARY
-74.00500767,40.62952403953892,2015,5,982860,168629,1,BURGLARY
-74.02793556,40.63110998764431,2015,5,976496,169208,1,FELONY ASSAULT
-74.02119186,40.633024545881625,2015,5,978368,169905,1,FELONY ASSAULT
-74.00419702,40.62857986449856,2015,5,983085,168285,1,GRAND LARCENY
-74.02681622,40.63385778727639,2015,5,976807,170209,1,GRAND LARCENY
-74.0317231,40.61820025451216,2015,5,975443,164505,1,GRAND LARCENY
-74.03204678,40.62464768021655,2015,5,975354,166854,1,GRAND LARCENY OF MOTOR VEHICLE
-73.8950822,40.63740872108527,2015,5,1013369,171519,1,FELONY ASSAULT
-73.89321523,40.64002004100987,2015,5,1013886,172471,1,FELONY ASSAULT
-73.8867514,40.65256301998223,2015,5,1015674,177043,1,GRAND LARCENY
-73.90035974,40.62839952544386,2015,5,1011908,168235,1,GRAND LARCENY
-73.88777333,40.63207692785626,2015,5,1015400,169579,1,ROBBERY
-73.95543619,40.61738902472999,2015,5,996622,164211,1,BURGLARY
-73.96235832,40.61260183513612,2015,5,994701,162466,1,FELONY ASSAULT
-73.95533015,40.6412961,2015,5,996647,172921,1,FELONY ASSAULT
-73.95820584,40.64084703601779,2015,5,995849,172757,1,FELONY ASSAULT
-73.94750105,40.63108492703876,2015,5,998822,169202,1,GRAND LARCENY
-73.96979124,40.630843168348974,2015,5,992635,169111,1,GRAND LARCENY
-73.95957419,40.65420638864682,2015,5,995467,177624,1,GRAND LARCENY
-73.948141,40.63743665725105,2015,5,998643,171516,1,GRAND LARCENY
-73.94737479,40.62672065361635,2015,5,998858,167612,1,GRAND LARCENY
-73.96596293,40.64933646767187,2015,5,993695,175849,1,GRAND LARCENY
-73.958575,40.64984457361452,2015,5,995745,176035,1,GRAND LARCENY
-73.97298969,40.63272139957471,2015,5,991747,169795,1,GRAND LARCENY
-73.95791668,40.63655957,2015,5,995930,171195,1,GRAND LARCENY OF MOTOR VEHICLE
-73.95034403,40.63535159121302,2015,5,998032,170756,1,ROBBERY
-73.94936875,40.66710555966027,2015,5,998296,182325,1,BURGLARY
-73.93820842,40.667393797699376,2015,5,1001392,182432,1,BURGLARY
-73.95552786,40.663622236982505,2015,5,996588,181055,1,BURGLARY
-73.93961468,40.65894611351902,2015,5,1001004,179354,1,FELONY ASSAULT
-73.94401052,40.66052384115814,2015,5,999784,179928,1,GRAND LARCENY
-73.93829215,40.66650179,2015,5,1001369,182107,1,GRAND LARCENY
-73.96216771,40.65658425170593,2015,5,994747,178490,1,GRAND LARCENY
-73.94357764,40.66947984256016,2015,5,999902,183191,1,GRAND LARCENY
-73.96143799,40.665748828579225,2015,5,994948,181829,1,GRAND LARCENY
-73.96115221,40.66129395629646,2015,5,995028,180206,1,ROBBERY
-73.94250635,40.66606206376756,2015,5,1000200,181946,1,ROBBERY
-73.95177263,40.65774964,2015,5,997631,178916,1,ROBBERY
