0.005 0  0 0  0
47.2992 0  0 0  0
110.688 0  0 0  0
179.426 0  0 -1.65153  1.29147
247.937 0  0 -2.25589  1.75674
316.914 0  0 -2.3881  1.85704
386.046 0  0 -2.43049  1.92109
455.013 0  0 -2.46964  1.97373
524.327 0  0 -2.50964  2.01749
593.64 0  0 -2.54418  2.05259
663.036 0  0 -2.56271  2.07435
732.43 0  0 -2.56778  2.08566
801.841 0  0 -2.56736  2.09206
871.282 -4.53918e-10  -9.53684e-12 -2.56599  2.09668
939.607 -0.810725  0.288831 -2.56479  2.10045
1009.13 -1.24505  0.457692 -2.5638  2.10369
1078.69 -1.59201  0.597572 -2.5624  2.10612
1148.3 -1.8152  0.694275 -2.55953  2.10731
1217.96 -1.98576  0.762148 -2.55622  2.10796
1287.67 -2.11183  0.810832 -2.5534  2.10862
1357.43 -2.20331  0.845128 -2.55123  2.10941
1427.21 -2.26749  0.868277 -2.54956  2.11026
1491.9 -2.31322  0.882981 -2.54826  2.111
1554.02 -2.35279  0.894575 -2.54712  2.11163
1615.27 -2.38891  0.905102 -2.54605  2.11214
1676.04 -2.42178  0.915001 -2.54506  2.11258
1736.44 -2.45143  0.924164 -2.54417  2.11296
1796.61 -2.47812  0.932568 -2.54333  2.11329
1855.77 -2.50162  0.940068 -2.54254  2.11355
1915.56 -2.52281  0.946912 -2.54176  2.11377
1975.22 -2.54163  0.95303 -2.54103  2.11396
2034.75 -2.55832  0.958487 -2.54034  2.11411
2094.19 -2.57314  0.963355 -2.53971  2.11426
2153.54 -2.58631  0.967699 -2.53917  2.11442
2212.81 -2.59801  0.971569 -2.5387  2.11458
2272.03 -2.60844  0.975032 -2.53828  2.11474
2331.18 -2.61773  0.978118 -2.53789  2.11488
2390.29 -2.62608  0.980928 -2.53754  2.11501
2449.36 -2.63354  0.983434 -2.53722  2.11512
2508.39 -2.64019  0.985674 -2.53693  2.11523
2567.39 -2.64612  0.987668 -2.53668  2.11533
2626.36 -2.65141  0.989453 -2.53645  2.11542
2685.31 -2.65615  0.991051 -2.53624  2.11551
2743.6 -2.66034  0.992467 -2.53606  2.11558
2802.51 -2.66414  0.993751 -2.53589  2.11566
2861.39 -2.66754  0.9949 -2.53575  2.11572
2920.26 -2.67058  0.995931 -2.53562  2.11578
2979.12 -2.67332  0.996855 -2.5355  2.11584
3037.96 -2.67578  0.997682 -2.53539  2.11589
3096.8 -2.67798  0.998425 -2.5353  2.11593
3155.62 -2.67995  0.99909 -2.53522  2.11597
3214.43 -2.68172  0.999685 -2.53514  2.11601
3273.23 -2.68332  1.00023 -2.53509  2.11606
3332.03 -2.68486  1.00074 -2.53504  2.11612
3390.84 -2.68629  1.00122 -2.53501  2.11618
3449.67 -2.68774  1.00175 -2.53498  2.11624
3508.49 -2.68919  1.00227 -2.53496  2.11629
3567.3 -2.69037  1.00268 -2.53493  2.11634
3625.29 -2.69136  1.00302 -2.5349  2.11638
3684.1 -2.69229  1.00334 -2.53488  2.11642
3742.92 -2.69316  1.00364 -2.53486  2.11645
3801.73 -2.69397  1.00391 -2.53484  2.11649
3860.54 -2.69473  1.00418 -2.53484  2.11653
3919.33 -2.69544  1.00442 -2.53484  2.11657
3978.12 -2.69611  1.00466 -2.53484  2.11661
4036.91 -2.69674  1.00488 -2.53485  2.11665
4095.69 -2.69733  1.00509 -2.53485  2.11669
4154.48 -2.6979  1.0053 -2.53486  2.11672
4213.27 -2.69844  1.00549 -2.53486  2.11675
4272.06 -2.69895  1.00568 -2.53486  2.11678
4330.85 -2.69944  1.00586 -2.53486  2.11681
4389.64 -2.69992  1.00603 -2.53486  2.11683
4448.43 -2.70039  1.00619 -2.53485  2.11685
4506.47 -2.70084  1.00636 -2.53483  2.11686
4565.26 -2.70127  1.00651 -2.53481  2.11687
4624.04 -2.70165  1.00665 -2.53478  2.11687
4682.83 -2.70201  1.00678 -2.53475  2.11687
4741.62 -2.70234  1.00689 -2.53472  2.11687
4800.41 -2.70266  1.00701 -2.5347  2.11687
4859.2 -2.70295  1.00711 -2.53471  2.11681
4917.99 -2.70323  1.00721 -2.5348  2.11665
4976.78 -2.7035  1.0073 -2.53492  2.1165
5035.57 -2.70375  1.00739 -2.53502  2.11642
5094.33 -2.704  1.00748 -2.5351  2.1164
5153.07 -2.70427  1.00757 -2.53515  2.1164
5211.81 -2.70456  1.00767 -2.53518  2.11642
5270.55 -2.70654  1.00841 -2.53518  2.11643
5329.29 -2.70993  1.00961 -2.53517  2.11644
5388.03 -2.71205  1.01035 -2.53515  2.11644
5445.82 -2.71335  1.01078 -2.53512  2.11644
5504.56 -2.7142  1.01105 -2.5351  2.11644
5563.3 -2.71487  1.01126 -2.53507  2.11643
5622.04 -2.71543  1.01144 -2.53501  2.11641
5680.78 -2.71588  1.01159 -2.53496  2.1164
5739.52 -2.71623  1.0117 -2.53491  2.11638
5798.26 -2.71653  1.0118 -2.53487  2.11637
5857 -2.71687  1.01192 -2.53482  2.11635
5915.74 -2.71729  1.01206 -2.53475  2.11633
5974.48 -2.71778  1.01224 -2.53467  2.1163
6033.21 -2.71839  1.01245 -2.53458  2.11627
6091.91 -2.71911  1.01271 -2.53449  2.11624
6150.6 -2.71992  1.013 -2.53439  2.1162
6209.29 -2.72083  1.01333 -2.5343  2.11617
6267.98 -2.72182  1.01368 -2.53412  2.11608
6325.82 -2.72288  1.01406 -2.53387  2.11595
6384.52 -2.72406  1.01448 -2.53373  2.1159
6443.21 -2.72527  1.01492 -2.53365  2.11588
6501.9 -2.72649  1.01535 -2.53359  2.11589
6560.59 -2.72768  1.01578 -2.53353  2.11589
6619.28 -2.72881  1.01617 -2.53347  2.11588
6677.97 -2.72988  1.01655 -2.5334  2.11587
6736.66 -2.73088  1.0169 -2.53333  2.11587
6795.33 -2.73178  1.01721 -2.53327  2.11586
6853.97 -2.73263  1.0175 -2.5332  2.11585
6912.61 -2.73346  1.01779 -2.53314  2.11584
6971.26 -2.73425  1.01806 -2.53309  2.11583
7029.9 -2.73499  1.01832 -2.53304  2.11583
7088.54 -2.73569  1.01856 -2.53299  2.11582
7147.18 -2.73635  1.01879 -2.53295  2.11582
